BIBTEXKEY,DATE,TITLE,AUTHOR,JOURNALTITLE,BOOKTITLE,CATEGORY,DOI,EDITOR,PUBLISHER
Azevedo2015-AZEEAI,2015,Experimental and Interdisciplinary Approaches in Philosophy: Methodological Caveats,"Azevedo, Marco Antonio, Othero, Jairo",Dissertatio,NA,ARTICLE,10.15210/dissertatio.v0i0.8602,,NA
Monsere2015-MONTRO-15,2015,The Role of Intuitions in the Philosophy of Art,"Monseré, Annelies",Inquiry: An Interdisciplinary Journal of Philosophy,NA,ARTICLE,10.1080/0020174x.2015.1080627,,Informa Uk
Cowley-Cunningham2015-COWHFI,2015,Hypothesis Falsification in the 2-4-6 Number Sequence Test: Introducing Imaginary Counterparts,"Cowley{-}Cunningham, Michelle B.",Philosophy of Mind eJournal,NA,ARTICLE,NA,,NA
Feltz2013-FELVOC-2,2013,Virtue or Consequences: The Folk Against Pure Evaluational Internalism,"Feltz, Adam, Cokely, Edward T.",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2012.692903,,NA
Phelan2013-PHETTA,2013,Thinking Things and Feeling Things: On an Alleged Discontinuity in Folk Metaphysics of Mind,"Phelan, Mark, Arico, Adam, Nichols, Shaun",Phenomenology and the Cognitive Sciences,NA,ARTICLE,10.1007/s11097-012-9278-7,,Springer Verlag
Hagman2015-HAGPVO,2015,Public Views on Policies Involving Nudges,"Hagman, William, Andersson, David, Västfjäll, Daniel, Tinghög, Gustav",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-015-0263-2,,Springer Verlag
Thurow2013-THUITO,2013,"Intuition Theory of the a Priori, with Implications for Experimental Philosophy","Thurow, Joshua C.",NA,The a Priori in Philosophy,INCOLLECTION,NA,,Oxford University Press UK
Egre2015-EGRMAA,2015,Moral Asymmetries and the Semantics of Many,"Egré, Paul, Cova, Florian",Semantics and Pragmatics,NA,ARTICLE,NA,,NA
Macleod2015-MACBSI-3,2015,Belief States in Criminal Law,"Macleod, James A.",Oklahoma Law Review,NA,ARTICLE,NA,,NA
Myers-Schulz2013-MYEKTP-2,2013,Knowing That P Without Believing That P,"Myers{-}Schulz, Blake, Schwitzgebel, Eric",Noûs,NA,ARTICLE,10.1111/nous.12022,,NA
