BIBTEXKEY,DATE,TITLE,AUTHOR,JOURNALTITLE,BOOKTITLE,CATEGORY,DOI,EDITOR,PUBLISHER
Turri2015-TURKAT-3,2015,Knowledge and the Norm of Assertion: A Simple Test,"Turri, John",Synthese,NA,ARTICLE,10.1007/s11229-014-0573-4,,Springer Netherlands
Pinillos2014-PINEEI,2014,Experimental Evidence in Support of Anti-Intellectualism About Knowledge,"Pinillos, Ángel, Simpson, Shawn",NA,Advances in Experimental Epistemology,INCOLLECTION,NA,,Bloomsbury Academic
Capaldi2014-CAPTRB-2,2014,The Relationship Between Nature Connectedness and Happiness: A Meta-Analysis,"Capaldi, Colin A., Dopko, Raelyne L., Zelenski, John M.",Frontiers in Psychology,NA,ARTICLE,10.3389/fpsyg.2014.00976,,NA
Fischer2015-FISEPR,2015,"Experimental Philosophy, Rationalism, and Naturalism: Rethinking Philosophical Method",NA,NA,NA,BOOK,NA,,Routledge
Fair2015-FAISIT-5,2015,Socrates in the Schools From Scotland to Texas: Replicating a Study on the Effects of a Philosophy for Children Program,"Fair, Frank, Haas, Lory E., Gardoski, Carol, Johnson, Daphne, Price, Debra, Leipnik, Olena",Journal of Philosophy in Schools,NA,ARTICLE,10.21913/jps.v2i1.1100,,NA
Chapman2013-CHAIDO-14,2013,In Defense of Intuitions: A New Rationalist Manifesto,"Chapman, Andrew, Ellis, Addison, Hanna, Robert, Pickford, Henry, Hildebrand, Tyler",NA,NA,BOOK,NA,,Palgrave MacMillan
White2015-WHIEPI-5,2015,Establishing Personal Identity in Reincarnation: Minds and Bodies Reconsidered,"White, Claire",Journal of Cognition and Culture,NA,ARTICLE,10.1163/15685373-12342158,,Brill Academic Publishers
Antonese2015-ANTUMJ,2015,Understanding Moral Judgments: The Role of the Agent?s Characteristics in Moral Evaluations,"Antonese, Emilia Alexandra",Symposion: Theoretical and Applied Inquiries in Philosophy and Social Sciences,NA,ARTICLE,10.5840/symposion20152211,,NA
Rusch2014-RUSPA-2,2014,Philosophy as the Behaviorist Views It?,"Rusch, Hannes",NA,Experimental Ethics: Toward an Empirical Moral Philosophy,INCOLLECTION,NA,,Palgrave-Macmillan
Colaco2014-COLEII-2,2014,Epistemic Intuitions in Fake-Barn Thought Experiments,"Colaço, David, Buckwalter, Wesley, Stich, Stephen, Machery, Edouard",Episteme,NA,ARTICLE,10.1017/epi.2014.7,,Edinburgh University Press
Phelan2014-PHEEPA-2,2014,Experimental Pragmatics: An Introduction for Philosophers,"Phelan, Mark",Philosophy Compass,NA,ARTICLE,10.1111/phc3.12093,,Wiley-Blackwell
Buckwalter2014-BUCFVA,2014,Factive Verbs and Protagonist Projection,"Buckwalter, Wesley",Episteme,NA,ARTICLE,10.1017/epi.2014.22,,NA
Huang2013-HUATEI-3,2013,Tolerance Effect in Categorisation with Vague Predicates,"Huang, Minyao",Pragmatics and Cognition,NA,ARTICLE,10.1075/pc.21.2.05hua,,NA
Yilmaz2015-YILWGE,2015,"Without God, Everything is Permitted? The Reciprocal Influence of Religious and Meta-Ethical Beliefs","Yilmaz, Onurcan",Journal of Experimental Social Psychology,NA,ARTICLE,NA,,NA
Cardinale2014-CARTMS-6,2014,The Moral Status of an Action Influences its Perceived Intentional Status in Adolescents with Psychopathic Traits,"Cardinale, Elise, Finger, Elizabeth, Schechter, Julia, Jurkowitz, Ilana, Blair, R. J. R., Marsh, Abigail",NA,"Oxford Studies in Experimental Philosophy, Volume 1",INCOLLECTION,NA,,Oxford University Press UK
Reggia2015-REGBCT,2015,Beliefs Concerning the Nature of Consciousness,"Reggia, J. A., Huang, D. W., Katz, G.",Journal of Consciousness Studies,NA,ARTICLE,NA,,NA
Botts2014-BOTWIT-2,2014,What is the State of Blacks in Philosophy?,"Botts, Tina F., Bright, Liam K., Mallarangeng, Guntur, Spencer, Quayshawn, Cherry, Myisha",Critical Philosophy of Race,NA,ARTICLE,10.5325/critphilrace.2.2.0224,,NA
Rini2015-RINHNT,2015,How Not to Test for Philosophical Expertise,"Rini, Regina",Synthese,NA,ARTICLE,10.1007/s11229-014-0579-y,,Springer Netherlands
Rose2014-ROSWWS,2014,"When Words Speak Louder Than Actions: Delusion, Belief, and the Power of Assertion","Rose, David, Buckwalter, Wesley, Turri, John",Australasian Journal of Philosophy,NA,ARTICLE,10.1080/00048402.2014.909859,,Routledge
Tobia2013-TOBMIA,2013,Moral Intuitions: Are Philosophers Experts?,"Tobia, Kevin, Buckwalter, Wesley, Stich, Stephen",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2012.696327,,NA
Shin2014-SHITCA-3,2014,Time Constraints and Pragmatic Encroachment on Knowledge,"Shin, Joseph",Episteme,NA,ARTICLE,10.1017/epi.2014.6,,Edinburgh University Press
Beebe2013-BEEWOW,2013,"Weakness of Will, Reasonability, and Compulsion","Beebe, James",Synthese,NA,ARTICLE,10.1007/s11229-013-0250-z,,Springer Verlag
Feldman2014-FELFWI,2014,Free Will is About Choosing: The Link Between Choice and the Belief in Free Will,"Feldman, Gilad, Baumeister, Roy, Wong, Kin Fai",Journal of Experimental Social Psychology,NA,ARTICLE,NA,,NA
Phillips2015-PHIUMI,2015,Unifying Morality?s Influence on Non-Moral Judgments: The Relevance of Alternative Possibilities,"Phillips, Jonathan, Luguri, Jamie B., Knobe, Joshua",Cognition,NA,ARTICLE,10.1016/j.cognition.2015.08.001,,NA
Hansen2015-HANLEA-15,2015,Linguistic Experiments and Ordinary Language Philosophy,"Hansen, Nat, Chemla, Emmanuel",Ratio,NA,ARTICLE,10.1111/rati.12112,,Wiley
Friedland2013-FRIETM,2013,Expanding the Motivations for Altruism: A Philosophical Perspective,"Friedland, Julian",Journal of Organizational Behavior,NA,ARTICLE,NA,,NA
Strohminger2014-STRTEM,2014,The Essential Moral Self,"Strohminger, Nina, Nichols, Shaun",Cognition,NA,ARTICLE,10.1016/j.cognition.2013.12.005,,NA
Fisher2015-FISPEP,2015,Pragmatic Experimental Philosophy,"Fisher, Justin C.",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2013.870546,,NA
Mizrahi2015-MIZDBT,2015,Don't Believe the Hype: Why Should Philosophical Theories Yield to Intuitions?,"Mizrahi, Moti",Teorema: International Journal of Philosophy,NA,ARTICLE,NA,,NA
Daly2015-DALPHO,2015,The Palgrave Handbook of Philosophical Methods,NA,NA,NA,BOOK,NA,,Palgrave-Macmillan
Nagatsu2013-NAGEPO,2013,Experimental Philosophy of Economics,"Nagatsu, Michiru",Economics and Philosophy,NA,ARTICLE,10.1017/s0266267113000229,,Cambridge University Press
Gimenez-dasi2013-GIMIEC,2013,Improving Emotion Comprehension and Social Skills in Early Childhood Through Philosophy for Children,"Giménez{-}dasí, Marta, Quintanilla, Laura, Daniel, Marie{-}France",Childhood and Philosophy,NA,ARTICLE,NA,,State University of Rio de Janeiro
Bluhm2013-BLUDAL,2013,"Don't Ask, Look! Linguistic Corpora as a Tool for Conceptual Analysis","Bluhm, Roland",NA,Was dürfen wir glauben? Was sollen wir tun? Sektionsbeiträge des achten internationalen Kongresses der Gesellschaft für Analytische Philosophie e.V.,INCOLLECTION,NA,,DuEPublico
Newman2015-NEWBAT-2,2015,Beliefs About the True Self Explain Asymmetries Based on Moral Judgment,"Newman, George E., Freitas, Julian De, Knobe, Joshua",Cognitive Science,NA,ARTICLE,10.1111/cogs.12134,,NA
Byrd2014-BYRIAR,2014,Intuitive and Reflective Responses in Philosophy,"Byrd, Nick",NA,NA,THESIS,NA,,University of Colorado
Fiala2014-FIAYR,2014,"You, Robot","Fiala, Brian, Arico, Adam, Nichols, Shaun",NA,Current Controversies in Experimental Philosophy,INCOLLECTION,NA,,Routledge
Urminsky2014-URMCAS,2014,Choice and Self: How Synchronic and Diachronic Identity Shape Choices and Decision Making,"Urminsky, Oleg, Bartels, Daniel M., Giuliano, Paola, Newman, George E., Puntoni, Stefano, Rips, Lance",Marketing Letters,NA,ARTICLE,10.1007/s11002-014-9312-3,,NA
Garfield2015-GAREEA-4,2015,"Ego, Egoism and the Impact of Religion on Ethical Experience: What a Paradoxical Consequence of Buddhist Culture Tells Us About Moral Psychology","Garfield, Jay L., Nichols, Shaun, Rai, Arun K., Strohminger, Nina",The Journal of Ethics,NA,ARTICLE,10.1007/s10892-015-9210-9,,Springer Netherlands
Deutsch2015-DEUTMO,2015,The Myth of the Intuitive,"Deutsch, Max Emil",NA,NA,BOOK,NA,,The MIT Press
Nado2014-NADTRO-3,2014,The Role of Intuition,"Nado, Jennifer Ellen",NA,Advances in Experimental Philosophy of Mind,INCOLLECTION,NA,,Bloomsbury
Reuter2014-REURKP,2014,"Reuter, Kevin; Phillips, Dustin; Sytsma, Justin (2014). Hallucinating Pain. In: Sytsma, Justin. Advances in Experimental Philosophy of Mind. London: Bloomsbury Academic, N/A",NA,NA,NA,BOOK,NA,,NA
Thurow2013-THUDCS,2013,Does Cognitive Science Show Belief in God to Be Irrational? The Epistemic Consequences of the Cognitive Science of Religion,"Thurow, Joshua C.",International Journal for Philosophy of Religion,NA,ARTICLE,10.1007/s11153-011-9300-y,,Springer Verlag
Keil2015-KEIPMA-2,2015,Philosophical Methodology and its Implications for Experimental Philosophy,"Keil, Benjamin Allan",NA,NA,UNPUBLISHED,NA,,University of Kansas
Vargas2014-VARSEA,2014,Social Explanations and the Free Will Problem,"Vargas, Manuel",NA,Moral Psychology: Free Will and Moral Responsibility,INCOLLECTION,NA,,Bradford
Sauer2014-SAUITK,2014,"It?s the Knobe Effect, Stupid!: How to Explain the Side-Effect Effect","Sauer, Hanno",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-014-0189-0,,Springer Verlag
Felletti2015-FELAWL,2015,Are We Living an Illusion? Folk Intuitions on the Problem of Free Will,"Felletti, Silvia",Rivista Internazionale di Filosofia e Psicologia,NA,ARTICLE,10.4453/rifp.2015.0012,,NA
Jonson2015-JONTET-3,2015,Teaching Ethics to Undergraduate Business Students in Australia: Comparison of Integrated and Stand-Alone Approaches,"Jonson, Elizabeth Prior, McGuire, Linda Mary, O?Neill, Deirdre",Journal of Business Ethics,NA,ARTICLE,10.1007/s10551-014-2330-5,,Springer Verlag
Beebe2015-BEEMVA,2015,Moral Valence and Semantic Intuitions,"Beebe, James R., Undercoffer, Ryan J.",Erkenntnis,NA,ARTICLE,10.1007/s10670-014-9653-6,,Springer Netherlands
Tanyi2013-TANMLN,2013,Mennyire Lehet Nehéz? A Túlzott Követelések Ellenvetésének Újszer\Hu Megközelítései (?How Hard Can It Get? Novel Approaches to the Overdemandingness Objection?),"Tanyi, Attila",Cafe Babel,NA,ARTICLE,NA,,NA
Webber2013-SCAISO-8,2013,Intentional Side-Effects of Action,"Webber, Jonathan, Scaife, Robin",Journal of Moral Philosophy,NA,ARTICLE,10.1163/17455243-4681004,,Brill
Holtzman2013-HOLDPE,2013,Do Personality Effects Mean Philosophy is Intrinsically Subjective?,"Holtzman, Geoffrey",Journal of Consciousness Studies,NA,ARTICLE,NA,,Imprint Academic
Cushman2014-CUSPIH,2014,Punishment in Humans: From Intuitions to Institutions,"Cushman, Fiery",Philosophy Compass,NA,ARTICLE,10.1111/phc3.12192,,NA
Andow2015-ANDHIE,2015,How ?Intuition? Exploded,"Andow, James",Metaphilosophy,NA,ARTICLE,10.1111/meta.12127,,Blackwell Publishing
Higgins2013-HIGACB,2013,A Citation Based View of the Ontology Community in Philosophy,"Higgins, Andrew, Smith, Brittany",NA,Proceedings of the ACM Web Science 2013,INCOLLECTION,NA,,NA
Cosentino2015-COSRWH,2015,Reading Words Hurts: The Impact of Pain Sensitivity on People?s Ratings of Pain-Related Words.,"Cosentino, Erica, Werning, Markus, Reuter, Kevin",NA,Reading Words Hurts: The impact of pain sensitivity on people?s ratings of pain-related words,INCOLLECTION,NA,,NA
Halpern2015-HALGCA,2015,Graded Causation and Defaults,"Halpern, Joseph Y., Hitchcock, Christopher",British Journal for the Philosophy of Science,NA,ARTICLE,10.1093/bjps/axt050,,University of Chicago Press
Nagel2013-NAGAGC,2013,Authentic Gettier Cases: A Reply to Starmans and Friedman,"Nagel, Jennifer, Juan, Valerie San, Mar, Raymond",Cognition,NA,ARTICLE,10.1016/j.cognition.2013.08.016,,NA
Egre2013-EGRVAO,2013,Vagueness and Order Effects in Color Categorization,"Egré, Paul, de Gardelle, Vincent, Ripley, David","Journal of Logic, Language and Information",NA,ARTICLE,10.1007/s10849-013-9183-7,,Springer Verlag
Wright2013-WRITII,2013,Tracking Instability in Our Philosophical Judgments: Is It Intuitive?,"Wright, Jennifer",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2012.672172,,NA
Vaesen2013-VAETRO,2013,The Reliability of Armchair Intuitions,"Vaesen, Krist, Peterson, Martin, Bezooijen, Bart Van",Metaphilosophy,NA,ARTICLE,10.1111/meta.12060,,NA
Prasada2013-PRACDA,2013,Conceptual Distinctions Amongst Generics,"Prasada, Sandeep, Khemlani, Sangeet, Leslie, Sarah{-}Jane, Glucksberg, Sam",Cognition,NA,ARTICLE,10.1016/j.cognition.2012.11.010,,NA
May2014-MAYOTV,2014,On the Very Concept of Free Will,"May, Joshua",Synthese,NA,ARTICLE,10.1007/s11229-014-0426-1,,Springer Verlag
Andow2015-ANDTFA-4,2015,"Thin, Fine and with Sensitivity: A Metamethodology of Intuitions","Andow, James",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-015-0247-2,,Springer
Feltz2015-FELEPO,2015,Experimental Philosophy of Actual and Counterfactual Free Will Intuitions,"Feltz, Adam",Consciousness and Cognition,NA,ARTICLE,10.1016/j.concog.2015.06.001,,NA
Powell2015-POWABF,2015,A Bayesian Framework for Knowledge Attribution: Evidence From Semantic Integration,"Powell, Derek, Horne, Zachary, Pinillos, Ángel, Holyoak, Keith",Cognition,NA,ARTICLE,10.1016/j.cognition.2015.03.002,,NA
Feltz2014-FELMRA,2014,Moral Responsibility and Free Will: A Meta-Analysis,"Feltz, Adam, Cova, Florian",Consciousness and Cognition,NA,ARTICLE,10.1016/j.concog.2014.08.012,,NA
Buckwalter2015-BUCKSA,2015,"Knowledge, Stakes, and Mistakes","Buckwalter, Wesley, Schaffer, Jonathan",Noûs,NA,ARTICLE,10.1111/nous.12017,,NA
Tierney2014-TIEHMO,2014,How Many of Us Are There?,"Tierney, Hannah, Howard, Chris, Kumar, Victor, Kvaran, Trevor, Nichols, Shaun",NA,Advances in Experimental Philosophy of Mind,INCOLLECTION,NA,,Bloomsbury
Deery2013-DEEPAI,2013,Phenomenal Abilities: Incompatibilism and the Experience of Agency,"Deery, Oisín, Bedke, Matthew S., Nichols, Shaun",NA,Oxford studies in agency and responsibility,INCOLLECTION,NA,,Oxford University Press
Cova2014-COVAAO,2014,An Assessment of Scaife and Webber?s ?Consideration Hypothesis?,"Cova, Florian",Journal of Moral Philosophy,NA,ARTICLE,10.1163/17455243-4681013,,Brill Academic Publishers
Wagenknecht2015-ANDEPO-4,2015,Empirical Philosophy of Science: Introducing Qualitative Methods Into Philosophy of Science,NA,NA,NA,BOOK,NA,,Springer International Publishing
Komorowska-Mach2013-KOMNPO,2013,Negative Program of Experimental Philosophy and Appealing to Intuition in Philosophical Argumentation,"Komorowska{-}Mach, Joanna",Filozofia Nauki,NA,ARTICLE,NA,,NA
Nadelhoffer2014-NADTFW,2014,The Free Will Inventory: Measuring Beliefs About Agency and Responsibility,"Nadelhoffer, Thomas, Shepard, Jason, Nahmias, Eddy, Sripada, Chandra, Ross, Lisa Thomson",Consciousness and Cognition,NA,ARTICLE,10.1016/j.concog.2014.01.006,,Elsevier
DiNucci2013-DINSAT-3,2013,Self-Sacrifice and the Trolley Problem,"Nucci, Ezio Di",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2012.674664,,NA
VanSlyke2014-VANRIE-2,2014,"Religion is Easy, but Science is Hard ? Understanding Mccauley's Thesis","Slyke, James A. Van",Zygon,NA,ARTICLE,10.1111/zygo.12113,,NA
Turri2013-TURTTO-3,2013,The Test of Truth: An Experimental Investigation of the Norm of Assertion,"Turri, John",Cognition,NA,ARTICLE,10.1016/j.cognition.2013.06.012,,NA
Grundmann2014-GRUDEP,2014,Die Experimentelle Philosophie in der Diskussion,NA,NA,NA,BOOK,NA,,Suhrkamp
Ichikawa2013-ICHVIA,2013,"Virtue, Intuition, and Philosophical Methodology","Ichikawa, Jonathan Jenkins",NA,Virtuous Thoughts: Essays on the Philosophy of Ernest Sosa,INCOLLECTION,NA,,Springer
Murray2014-MUREAI-2,2014,Explaining Away Incompatibilist Intuitions,"Murray, Dylan, Nahmias, Eddy",Philosophy and Phenomenological Research,NA,ARTICLE,10.1111/j.1933-1592.2012.00609.x,,NA
Adleberg2015-ADLDMA,2015,Do Men and Women Have Different Philosophical Intuitions? Further Data,"Adleberg, Toni, Thompson, Morgan, Nahmias, Eddy",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2013.878834,,NA
Levy2013-LEVIA-2,2013,20 Intuitions and Experimental Philosophy: Comfortable Bedfellows,"Levy, Neil",NA,Philosophical Methodology: The Armchair or the Laboratory?,INCOLLECTION,NA,,Routledge
Gerken2013-GEREFB,2013,Epistemic Focal Bias,"Gerken, Mikkel",Australasian Journal of Philosophy,NA,ARTICLE,10.1080/00048402.2011.631020,,Taylor \& Francis Group
Mizrahi2015-MIZOCA-2,2015,"Ought, Can, and Presupposition: A Reply to Kurthy and Lawford-Smith","Mizrahi, Moti",Methode,NA,ARTICLE,NA,,NA
DeCruz2014-DECCSO,2014,Cognitive Science of Religion and the Study of Theological Concepts,"Cruz, Helen De",Topoi,NA,ARTICLE,10.1007/s11245-013-9168-9,,Springer Verlag
Alexander2014-ALEEPA-3,2014,"""Experimental Philosophy and its Critic,"" Ed. Joachim Horvath and Thomas Grundmann; ""Experimental Philosophy,"" Volume 2, Ed. Joshua Knobe and Shaun Nichols; and ""Current Controversies in Experimental Philosophy,"" Ed. Edouard Machery and Elizabeth o?Neill","Alexander, Joshua",Teaching Philosophy,NA,ARTICLE,10.5840/teachphil201437325,,Philosophy Documentation Center
Weigel2013-WEIEEF,2013,Experimental Evidence for Free Will Revisionism,"Weigel, Chris",Philosophical Explorations,NA,ARTICLE,10.1080/13869795.2012.708774,,Routledge
Rose2015-ROSBIP,2015,Belief is Prior to Knowledge,"Rose, David",Episteme,NA,ARTICLE,10.1017/epi.2015.21,,NA
Robinson2013-ROBVAV,2013,Virtue and Vice Attributions in the Business Context: An Experimental Investigation,"Robinson, Brian, Stey, Paul, Alfano, Mark",Journal of Business Ethics,NA,ARTICLE,10.1007/s10551-013-1676-4,,Springer Verlag
Dalbauer2013-DALIWI,2013,Is What is Worse More Likely?--The Probabilistic Explanation of the Epistemic Side-Effect Effect,"Dalbauer, Nikolaus, Hergovich, Andreas",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-013-0156-1,,Springer Verlag
Mckenna2015-MCKKAE-2,2015,Knowledge Ascriptions,"Mckenna, R.",Philosophical Quarterly,NA,ARTICLE,10.1093/pq/pqu073,,NA
Phillips2014-PHIMMT,2014,Manipulating Morality: Third-Party Intentions Alter Moral Judgments by Changing Causal Reasoning,"Phillips, Jonathan, Shaw, Alex",Cognitive Science,NA,ARTICLE,10.1111/cogs.12194,,NA
Inglis2015-INGBIN,2015,Beauty is Not Simplicity: An Analysis of Mathematicians' Proof Appraisals,"Inglis, Matthew, Aberdein, Andrew",Philosophia Mathematica,NA,ARTICLE,10.1093/philmat/nku014,,Oxford University Press
CBennett2015-CBETEO-2,2015,The Effects of Culture and Context on Perceptions of Robotic Facial Expressions,"Bennett, Casey C., Šabanović, Selma",Interaction Studies,NA,ARTICLE,10.1075/is.16.2.11ben,,NA
Clarke2015-CLACNA-3,2015,"Causation, Norms, and Omissions: A Study of Causal Judgments","Clarke, Randolph, Shepherd, Joshua, Stigall, John, Waller, Robyn Repko, Zarpentine, Chris",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2013.815099,,NA
Buckwalter2014-BUCTMO-3,2014,The Mystery of Stakes and Error in Ascriber Intuitions,"Buckwalter, Wesley",NA,Advances in Experimental Epistemology,INCOLLECTION,NA,,Bloomsbury Academic
Reuter2014-REUHP,2014,Hallucinating Pain,"Reuter, Kevin, Dustin, Phillips, Sytsma, Justin",NA,Advances in Experimental Philosophy of Mind,INCOLLECTION,NA,,Bloomsbury
Nanay2015-NANEPA-2,2015,Experimental Philosophy and Naturalism.,"Nanay, Bence",NA,"Experimental Philosophy, Rationalism, and Naturalism: Rethinking Philosophical Method",INCOLLECTION,NA,,Routledge
Ichikawa2014-ICHWNI,2014,Who Needs Intuitions? Two Experimentalist Critiques,"Ichikawa, Jonathan",NA,Intuitions,INCOLLECTION,NA,,Oxford University Press UK
Ciurria2014-CIUTCO,2014,The Case of Jojo and Our Pretheoretical Intuitions: An Externalist Interpretation,"Ciurria, Michelle",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-013-0168-x,,Springer Verlag
Turri2013-TURACA,2013,A Conspicuous Art: Putting Gettier to the Test,"Turri, John",Philosophers' Imprint,NA,ARTICLE,NA,,NA
Cova2014-COVEPA,2014,Experimental Philosophy and the Compatibility of Free Will and Determinism: A Survey,"Cova, Florian, Kitano, Yasuko",Annals of the Japan Association for Philosophy of Science,NA,ARTICLE,10.4288/jafpos.22.0\_17,,NA
Cohnitz2013-COHMVM,2013,Meta-Externalism Vs Meta-Internalism in the Study of Reference,"Cohnitz, Daniel, Haukioja, Jussi",Australasian Journal of Philosophy,NA,ARTICLE,10.1080/00048402.2012.717534,,Taylor \& Francis Group
Gondor2013-GONTD,2013,The Delude,NA,NA,NA,BOOK,NA,,Sintesi Point Publishing
Monsere2015-MONEPA-5,2015,Experimental Philosophy and Intuitions on What is Art and What is Not,"Monseré, Annelies",NA,NA,UNPUBLISHED,NA,,NA
Nagel2013-NAGKAA-3,2013,Knowledge as a Mental State,"Nagel, Jennifer",Oxford Studies in Epistemology,NA,ARTICLE,NA,,NA
Fischer2015-FISRAN-2,2015,Rationalism and Naturalism in the Age of Experimental Philosophy,"Fischer, Eugen, Collins, John",NA,"Experimental Philosophy, Rationalism, and Naturalism: Rethinking Philosophical Method",INCOLLECTION,NA,,Routledge
Knobe2013-KNOTLA,2013,Thinking Like a Scientist: Innateness as a Case Study,"Knobe, Joshua, Samuels, Richard",Cognition,NA,ARTICLE,10.1016/j.cognition.2012.09.003,,NA
Sarkissian2013-SARFMR-5,2013,Folk Moral Relativism,"Sarkissian, Hagop, Park, John J., Tien, David, Wright, Jennifer, Knobe, Joshua",NA,Experimental Philosophy: Volume 2,INCOLLECTION,NA,,Oxford University Press USA
Alpaslan2015-ALPDSO,2015,Descriptive Studies of the Relations Between Personal Epistemology and Self-Regulated Learning,"Alpaslan, Muhammet Mustafa",NA,NA,UNPUBLISHED,NA,,NA
Andow2014-ANDIDA,2014,"Intuitions, Disagreement and Referential Pluralism","Andow, James",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-013-0166-z,,Springer
Machery2015-MACGAC-6,2015,Gettier Across Cultures,"Machery, Edouard, Stich, Stephen, Rose, David, Chatterjee, Amita, Karasawa, Kaori, Struchiner, Noel, Sirker, Smita, Usui, Naoki, Hashimoto, Takaaki",Noûs,NA,ARTICLE,10.1111/nous.12110,,Wiley-Blackwell
Utikal2014-UTIAOE,2014,Attribution of Externalities: An Economic Approach to the Knobe Effect,"Utikal, Verena, Fischbacher, Urs",Economics and Philosophy,NA,ARTICLE,10.1017/s0266267114000170,,NA
Corradini2014-CORCIT-2,2014,"Experimental Ethics ? a Critical Analysis, In: C. Lumer (Ed.) Morality in Times of Naturalising the Mind","Corradini, Antonella",NA,"Experimental Ethics ? A Critical Analysis, in: C. Lumer (Ed.) Morality in Times of Naturalising the Mind",INCOLLECTION,NA,,NA
Turri2015-TURKAL,2015,Knowledge and Luck,"Turri, John, Buckwalter, Wesley, Blouw, Peter",Psychonomic Bulletin and Review,NA,ARTICLE,NA,,NA
Nahmias2014-NAHIFW,2014,Is Free Will an Illusion? Confronting Challenges From the Modern Mind Sciences,"Nahmias, Eddy",NA,Moral Psychology: Freedom and Responsibility,INCOLLECTION,NA,,MIT Press
Jack2014-JACMTA-2,2014,More Than a Feeling: Counterintuitive Effects of Compassion on Moral Judgment,"Jack, Anthony I., Robbins, Philip, Friedman, Jared, Meyers, Chris",NA,Advances in Experimental Philosophy of Mind,INCOLLECTION,NA,,Bloomsbury
Barnard2013-BARPAC-5,2013,"Philosophy as Continuous with Social Science?: Joshua Alexander: Experimental Philosophy: An Introduction. Cambridge: Polity Press, 2012, Vi+154Pp, \pounds15.99, ?19.20 Pb","Barnard, Robert",Metascience,NA,ARTICLE,10.1007/s11016-013-9806-2,,Springer Verlag
Shepard2014-SHEDBI,2014,Does Belief in Dualism Protect Against Maladaptive Psycho-Social Responses to Deep Brain Stimulation? An Empirical Exploration,"Shepard, Jason, May, Joshua",American Journal of Bioethics Neuroscience,NA,ARTICLE,10.1080/21507740.2014.951778,,Informa Uk
Hansson2014-HANBEP,2014,Beyond ?Experimental Philosophy?,"Hansson, Sven Ove",Theoria,NA,ARTICLE,10.1111/theo.12041,,NA
Hansen2014-HANCC-3,2014,Contrasting Cases,"Hansen, Nat",NA,Advances in Experimental Epistemology,INCOLLECTION,NA,,Bloomsbury Academic
Love2013-LOVEIA,2013,"Experiments, Intuitions and Images of Philosophy and Science","Love, Alan C.",Analysis,NA,ARTICLE,10.1093/analys/ant061,,NA
Feltz2014-FELTTO-7,2014,The Terror of ?Terrorists?: An Investigation in Experimental Applied Ethics,"Feltz, Adam, Cokely, Edward T.",Behavioral Sciences of Terrorism and Political Aggression,NA,ARTICLE,NA,,NA
Mizrahi2014-MIZTRO,2014,The Role of Justification in the Ordinary Concept of Scientific Progress,"Mizrahi, Moti, Buckwalter, Wesley",Journal for General Philosophy of Science / Zeitschrift für Allgemeine Wissenschaftstheorie,NA,ARTICLE,10.1007/s10838-014-9243-y,,Springer Verlag
Nadelhoffer2013-NADTFO,2013,The Future of Punishment,NA,NA,NA,BOOK,NA,,Oxford University Press USA
Rosas2013-ROSEEK,2013,El Efecto Knobe: Asimetrías En la Atribuición de Intencionalidad y Sus Causas,"Rosas, Alejandro, Gomez, Maria Alejandra Arciniegas",Manuscrito,NA,ARTICLE,10.1590/s0100-60452013000200004,,NA
Faraci2014-FARHVJ,2014,Huck Vs. Jojo: Moral Ignorance and the (a)Symmetry of Praise and Blame,"Faraci, David, Shoemaker, David",Oxford Studies in Experimental Philosophy,NA,ARTICLE,NA,,NA
Turri2015-TUREVA,2015,Excuse Validation: A Study in Rule-Breaking,"Turri, John, Blouw, Peter",Philosophical Studies,NA,ARTICLE,10.1007/s11098-014-0322-z,,Springer Netherlands
DeCruz2015-DECWPI-2,2015,Where Philosophical Intuitions Come From,"Cruz, Helen De",Australasian Journal of Philosophy,NA,ARTICLE,10.1080/00048402.2014.967792,,Routledge
Barry2014-BARDAA-2,2014,"Doing, Allowing, and Enabling Harm: An Empirical Investigation","Barry, Christian, Lindauer, Matthew, Øverland, Gerhard",NA,"Oxford Studies in Experimental Philosophy, Volume 1",INCOLLECTION,NA,,Oxford University Press UK
Cova2013-COVUIA,2013,Unconsidered Intentional Actions. An Assessment of Scaife and Webber?s ?Consideration Hypothesis?,"Cova, Florian",Journal of Moral Philosophy,NA,ARTICLE,10.1163/17455243-4681013,,Brill Academic Publishers
Beebe2014-BEEAIE-2,2014,Advances in Experimental Epistemology,NA,NA,NA,BOOK,NA,,Bloomsbury Academic
Mele2014-MELTSP,2014,The Single Phenomenon View and Experimental Philosophy,"Mele, Alfred",NA,Rational and Social Agency: The Philosophy of Michael Bratman,INCOLLECTION,NA,,Oxford University Press
